Snake,id_part,id_node,source_id,ra,dec,parallax,pmra,pmdec,radial_velocity,radial_velocity_error,parallax_error,pmra_error,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr
0,layer10_83463,,3052998307468807936,106.95783860682144,-6.242502919441055,3.5236639704447352,-8.046087117855215,-2.2265863363567178,6.0086308,20.207605,0.18373069,0.1947012,0.16314836,0.079939365,-0.13033563
0,layer10_83463,,3053024244771365760,107.4551934050742,-6.420879260668429,3.303413704687973,-7.744382177434543,-3.1195783784092286,,,0.083820485,0.095537364,0.09178658,-0.048880614,-0.010176942
0,layer10_83463,,3053149490318011648,107.34057806559746,-5.603135506816707,3.2932058798579207,-8.365456582044342,-2.597834345426033,,,0.10755533,0.11159735,0.113114536,0.098244704,0.17269138
0,layer10_83463,,3053186250934380928,106.24226052342206,-6.193054860765582,3.440005566692917,-8.081389666183927,-2.76213886098555,,,0.15124793,0.1829088,0.15511718,-0.12173447,0.16683313
0,layer10_83463,,3053205324894885888,106.784656176815,-6.035092892393847,3.1352865659370788,-7.628241867084688,-2.320965370464977,,,0.068045594,0.06349886,0.05871283,0.24219817,-0.20502186
0,layer10_83463,layer12_88324,3053243807802392320,105.8556983576594,-5.999817121149955,3.5006407167980367,-7.974055530155743,-2.5165892322492014,,,0.053066373,0.053109717,0.04909911,-0.03754002,0.10300579
0,layer10_83463,,3053243910881569664,105.89834130211877,-5.97183008839652,3.173195685203582,-7.200534841111958,-2.312125354511194,,,0.19164312,0.17075926,0.14057498,0.006007699,-0.0058324835
0,layer10_83463,,3053251328282929536,105.74999730653916,-5.925804344316675,3.9858328056438457,-8.085172217283212,-2.777855441105252,,,0.1847629,0.18050449,0.15726545,-0.04981618,0.030400196
0,layer10_83463,,3053268752973534848,106.24254237553568,-5.799257385621666,3.729032357626794,-7.454129630833365,-3.430267633210188,,,0.021103548,0.019923214,0.017675787,0.32848534,0.14498982
0,layer10_83463,,3053316817940736896,106.99779064075751,-5.574421567628307,3.516194561373662,-8.52374080883961,-2.776975163128224,,,0.038934436,0.03889423,0.033678137,-0.2575708,0.041876134
0,layer10_83463,layer12_88323,3104547329586441344,96.78174580693504,-4.546554134109567,3.107804307688068,-4.606034079360409,-1.9419781384206007,26.033388,3.83778,0.017278759,0.016646745,0.015764177,0.098099515,0.12359412
0,layer10_83463,layer12_88323,3104548875774571264,96.95995545772853,-4.488690524008468,3.1752968441112777,-4.7248556322077855,-1.851527045770336,,,0.09135934,0.09844763,0.10974693,0.30047512,-0.007126156
0,layer10_83463,layer12_88323,3104548944494045440,96.94982864615248,-4.475814908560131,3.134406358217058,-4.843667411956928,-2.0605729478417585,,,0.07612354,0.06675951,0.07316329,0.31946132,0.033270575
0,layer10_83463,layer12_88323,3104549288091448192,96.91588405184768,-4.486776718585091,3.151833980194512,-4.835500330624446,-1.7990213038262683,,,0.07128999,0.06867789,0.07258042,0.21655706,0.10266422
0,layer10_83463,layer12_88323,3104549352512006272,96.91024996634114,-4.478505928439376,3.3087158955943106,-4.415726740795028,-1.5978044859996172,,,0.14603724,0.13308556,0.14519101,0.16887219,0.057976726
0,layer10_83463,layer12_88323,3104550559401842944,96.7608739188815,-4.519016714825756,3.141821040008956,-4.582299206435671,-1.88874368674142,,,0.12857994,0.12040527,0.12026604,0.087630846,0.21247268
